,Area_No,School_No,Exam_No,Area_ID,Exam_ID,Sido_No,Region_No,Gungu_No,School,Age,Gender,Strata,Weight,O_51B,O_51D,O_51M,O_51L,O_52B,O_52D,O_52M,O_52L,O_53B,O_53D,O_53M,O_53L,O_54B,O_54D,O_54O,O_54M,O_54L,O_55B,O_55D,O_55O,O_55M,O_55L,O_61B,O_61M,O_61D,O_61L,O_62B,O_62M,O_62D,O_62L,O_63B,O_63M,O_63D,O_63L,O_64B,O_64M,O_64O,O_64D,O_64L,O_65B,O_65M,O_65O,O_65D,O_65L,O_71L,O_71M,O_71D,O_71B,O_72L,O_72M,O_72D,O_72B,O_73L,O_73M,O_73D,O_73B,O_74L,O_74M,O_74O,O_74D,O_74B,O_75L,O_75M,O_75O,O_75D,O_75B,O_81L,O_81D,O_81M,O_81B,O_82L,O_82D,O_82M,O_82B,O_83L,O_83D,O_83M,O_83B,O_84L,O_84D,O_84O,O_84M,O_84B,O_85L,O_85D,O_85O,O_85M,O_85B,TN_UL_5,TN_UL_4,TN_UL_3,TN_UL_2,TN_UL_1,TN_UR_1,TN_UR_2,TN_UR_3,TN_UR_4,TN_UR_5,TN_LL_5,TN_LL_4,TN_LL_3,TN_LL_2,TN_LL_1,TN_LR_1,TN_LR_2,TN_LR_3,TN_LR_4,TN_LR_5,Calculus,Bleeding,Fluorosis,Trauma,Trauma_1,Trauma_2,Trauma_3,Trauma_4,Trauma_5,Orthodontic,n_tooth_d,dt_d,ft_d,dft_d,ds_d,fs_d,dfs_d,prev_caries_d,act_caries_d,label
Area_No,1.0,0.8210059612192953,0.1392526727498237,0.04744059255821132,0.16132733701290627,0.7261743947093211,,0.5917780744931608,-0.17540240344514976,,-0.013956844045058052,0.9999792701301484,-0.1872819946364363,0.051142947522874016,0.050661959710893475,0.048667053997961604,0.05140986155438418,0.006032623327703697,0.0027304270380347725,0.006051986514721583,0.006641428500532642,-0.012976062658187732,-0.004628883938176684,-0.01465949319758968,-0.016764494567678857,0.03867524665932049,0.027132665065344425,-0.012499478810431695,0.03750251284350136,0.03939245273674277,-0.009903091733754725,-0.006602252176375095,-0.057310887370887895,0.0019886729139356753,-0.007260827852148256,0.05235218694674053,0.05004406622948668,0.05311360865806173,0.053739409495162795,0.022202062093230165,0.022860301368417813,0.02342679163926254,0.024347352368964584,0.016501640043885577,0.0034356664206912453,0.005807373847294792,0.0026451945085530933,0.026867193307616617,0.026226814701683285,-0.04037597096862197,0.002486839933305971,0.027612078979373747,0.0025675770335304763,0.005126367535135968,-0.07035206849727176,-0.00014762972420818532,-0.010825162074202428,0.07434196948357522,0.07457025633344468,0.07441000636864009,0.07434196948357522,0.0486895294339367,0.04888834971796524,0.048818521567375886,0.04824877512752494,0.05066291957101389,0.051568161607488575,0.05332308086754869,0.05080401020913707,0.03566212223799972,0.03547534506621282,-0.0020854776841481076,0.017696213993877007,0.03752716198750555,0.029253242002765033,0.016868194514355825,-0.007105500715098264,0.015562814302098549,0.02910934891698927,0.0974403496046446,0.09748546032051345,0.09767827981630643,0.0974403496046446,0.050304280788875826,0.05037507645098095,0.05043419740308431,0.04986056427543301,0.03253186354429074,0.03496497901456671,0.03156264904522893,0.031646026958912825,0.01603072423782269,0.01630964231809113,-0.0005816632842273529,0.017432898633252668,0.016246276964926032,0.009979981643455014,0.009668253254935385,-0.006730872041525048,0.014021161620160824,-0.003716087213782378,0.015081508879483367,0.016142420601406644,0.013124709045671945,0.014301337601867425,0.005083055045168209,0.0072759848568668545,0.007387762309575395,0.01802095823769936,0.007664827100399592,0.017590691643653584,-0.02113552895432265,0.006774890730199618,-0.025860852450821984,-0.04026388022768499,-0.026620107540528397,-0.02636545772691259,-0.0384913017190291,-0.027208817754875995,-0.007373588720222399,-0.028349671898942316,,,,,,,,,,,-0.08151179675259158,0.011052157620476843,-0.0122515115677255,-0.005690760628766533,0.02435055444860301,0.014140003747593059,0.018341174288998133,0.01786759960414344,0.00012312009811766254,0.01786759960414344
School_No,0.8210059612192953,1.0,-0.05685611240402414,-0.16199745645496086,0.05953010138717826,0.584052683942611,,0.3903926704200627,-0.5513511495634222,,0.020276262327689105,0.8209307762819105,-0.09480009218208561,0.013186379358423818,0.012611752759234861,0.00901049407796174,0.014227570892697486,0.003634700508297706,0.0010901932763397175,0.004174846036164533,0.004097681916926294,0.014652937383173649,0.017066401953205967,0.019660991851970788,0.016146136532303627,0.04088320685023256,0.035325196246127184,0.006647904632984989,0.041618708324551945,0.03923602657818852,-0.003584998713821997,0.0012844870082326747,-0.04316924366470614,0.007862128507020926,-0.006760256649730971,0.030441391901502322,0.027877997282762572,0.03182575651950509,0.03106071882853562,0.01798605575550249,0.018774791354058587,0.02104081854129535,0.020717881967096015,0.03488934475170328,0.02485091998213683,0.020646709343703107,0.02425967541849613,0.01938962020691277,0.01997389709323943,-0.021814624698826075,0.01068148858245742,0.019763920372638334,0.0038420974086124595,0.0013505330092631362,-0.06096602908316404,0.00011189985211755198,-0.01139021300434396,0.04518063650021137,0.04528038966922586,0.04508357775256418,0.04518063650021137,0.0476417672766199,0.04772432602397832,0.04765509962795164,0.047273858650287603,0.07058016996398739,0.07190774488250873,0.07214144166395905,0.07173884974753954,0.042605693497915834,0.04081619432235579,0.00975014730720852,0.031008788600032634,0.04473977970304635,0.03864003044154332,0.027314737356699016,0.0034103058712272663,0.026789498733855083,0.028303659259281515,0.07658150696558547,0.07652076652561872,0.07669384065405623,0.07658150696558547,0.025987515390618377,0.025964740421247284,0.02610160324533418,0.025616257405299984,0.05714640403497332,0.05694197579914306,0.05472054431347865,0.053600979181388286,0.020341333854101105,0.023405878319874812,-1.303318145487026e-05,0.02374450874625319,0.02173544709171167,0.0067265825245011275,0.007227403880109176,0.010776694920421773,0.014252332678001934,0.0035746410412035748,0.016290693141616006,0.025498363545725884,0.020141724488282612,0.019393331334891,0.003670910132247812,0.0030966540124255926,-0.00944765062269992,0.017956046235543265,0.028900143336608643,0.009692715929540569,-0.017527522221985035,0.011540916483351683,-0.027938848406143454,-0.038821324510813306,-0.027551619535324683,-0.027906197242295264,-0.03855656515641221,-0.02331245642179639,-0.006304474561471556,-0.010924707797580029,,,,,,,,,,,-0.05650945700631904,0.009480251596969988,-0.0014204977498253671,0.0026349065048753588,0.02804201593833064,0.02233365547900492,0.026758444371433904,0.024373381367674255,-0.008041263501388292,0.024373381367674255
Exam_No,0.1392526727498237,-0.05685611240402414,1.0,0.03725501041604647,0.12112627808855303,0.12401973072055883,,0.5072790598180753,0.13486621553244474,,-0.06311844363644073,0.1372968531362692,-0.18477861595818146,0.010464284464843107,0.008441172497981948,0.010057598134007967,0.011188696157016342,0.009982275779856518,0.00851826970234132,0.012136453697808434,0.008911962180167094,-0.03509950181423758,-0.017555616433160354,-0.034331260790547984,-0.03333710335747017,0.008285448258820688,0.011867980862595554,0.007182396468105128,0.007847239429741156,0.011514490038249283,-0.0009213425215039874,-0.00043436102004802685,0.028411552699554553,0.013172864868827164,0.05268656310777035,0.0025899483711125386,0.0019634912723700527,0.0013827738892017093,0.003430763436094768,0.0030250344755863605,0.003928627881004826,-0.00023532749562108873,-0.0011821932231846732,-0.037897570970484344,-0.03827167115130127,-0.018585283264939988,-0.03842804025919582,0.012098334128052097,0.0087236249829766,0.009311160940575167,0.0062900145814750365,0.011886117250467843,-0.005314468441724032,0.022378514412339894,0.038114074414539,-0.008733349647777713,0.04384173593451782,0.0012017724256572456,0.001272730833735906,0.0014175874773629511,0.0012017724256572456,-0.015321643243449284,-0.01512617557200843,-0.015524857500454098,-0.015409302473060986,0.02241256583260999,0.022937848987019685,0.025695299657429883,0.021829501184496482,0.02483204774032375,0.02371220460019243,0.05953039468446048,0.029783916704317587,0.02049797856226824,-0.0046036861395605195,0.01231423104079867,0.07839085530580613,-0.00982071654258465,0.026681084542833935,-0.0197320299935123,-0.019591239524021167,-0.019669136805631482,-0.0197320299935123,0.008617184525702473,0.008559394212984999,0.008876133316643523,0.008529881576370277,0.0077228382783759205,0.01140149950934475,0.009930967929770957,0.010920036756727394,0.019099644262197252,0.040019559527126526,0.08047692120397701,0.014588629702794866,0.020147374873039057,0.00482066144088679,0.0006960670646609932,0.07124958965126975,0.025940405792667785,0.0027303178815767937,0.04114640739099546,0.012484216066939809,-0.007064552209237212,0.03414155583349496,0.013335644310545557,0.015261002974422753,0.03374438443958049,-0.02253322713954681,0.0047416500228009886,0.025847280687027394,0.046231840289045076,0.058373954917696834,0.031054200338320827,0.035973428937511945,0.015709426550105918,0.016478694027405066,0.033314369455924704,0.02531084527352179,0.038954404606962895,0.05039767142569095,,,,,,,,,,,-0.0005011121476487284,0.038364245937997005,0.02871303814325591,0.03916273202223893,0.03545881776310249,0.01928820625397076,0.025494821405961432,0.035824861116729674,0.03741925237626325,0.035824861116729674
Area_ID,0.04744059255821132,-0.16199745645496086,0.03725501041604647,1.0,0.17615686463702732,0.06592044726392723,,0.19393310920275386,0.3192978909104337,,-0.006389230558077608,0.0475988931846265,-0.14130843921547692,0.044568410408093055,0.04566820870793905,0.046088988551209485,0.04453242852203041,-0.025251149914284777,-0.024235063891081488,-0.02823720380176178,-0.023618443282213516,-0.02523948929732568,-0.0319608238119844,-0.024093797581449174,-0.022604669344651166,-0.018776643975002175,-0.02622591853856293,-0.038983291580017225,-0.02263516821968513,-0.016826779402901382,0.008209490716731464,0.003567586165304248,-0.03536823683388462,0.0008527317245781738,0.012573242482662388,0.025996380703243928,0.02627204298786846,0.024871187468434607,0.02612004746991367,-0.021958531525661653,-0.026180698840438985,-0.02544494524372237,-0.024141348507473518,-0.017686088778193266,-0.022064803503642365,-0.026961299836153425,-0.0183020109079047,-0.0019260069593766034,-0.0057668605725094985,-0.022256315293901173,-0.02096453784056917,-0.0037476278704865217,-0.0011460862447072377,-0.010179477305881202,-0.030061278871555984,-0.00162872264968537,-0.007321148422263323,0.027650230345171105,0.027685464637576523,0.027850552680342592,0.027650230345171105,0.00035218941650097595,0.0004147960116601124,0.0003645941008349466,0.00022769701716034415,-0.03663465158584721,-0.03774437003875852,-0.037372596240201096,-0.037242844150904286,-0.02700068988562331,-0.03064176621240334,-0.039434625065899606,-0.059912964556438714,-0.02822047089371333,-0.02665647953294719,-0.0385802830029272,-0.05397358622309489,-0.025650885469831304,-0.006629318913325556,0.01756152575418977,0.017802726996597216,0.017592998363354057,0.01756152575418977,0.0015702653152300115,0.0016804582045087805,0.001754179795327645,0.0014449986972007297,-0.02737605894769423,-0.027734579794439336,-0.027937668542949955,-0.029257728261231134,-0.03602861391278459,-0.06179764962614506,-0.03646351203588441,-0.03760223339322994,-0.035807402577957816,0.0004662507143502612,-0.0027351686811367096,-0.06039553532623532,-0.011848357885962496,-0.003380057188439039,0.0014380798762758898,-0.04101639635783149,-0.05258230946246246,-0.049134711651881637,-0.03283809909438344,-0.027145246510275785,-0.03271412744496025,-0.023512358862540914,-0.025064738209717878,-0.00035723279426337775,-0.04113025013874687,-0.03547223606205677,-0.03822575621549368,-0.031126067807768793,-0.042282798260470676,-0.04272519604342743,-0.03342432239053212,-0.04556874464016866,-0.03549081150113631,-0.028950309419465827,,,,,,,,,,,-0.0141938703914387,-0.035910427412088115,-0.04571689348314559,-0.05223899340564317,-0.04771768508029489,-0.027044645563403184,-0.03532269453608341,-0.05691454661108302,-0.024950151146199043,-0.05691454661108302
Exam_ID,0.16132733701290627,0.05953010138717826,0.12112627808855303,0.17615686463702732,1.0,0.03032782720719073,,0.1934707666911892,0.1801722588720129,,-0.01855355059206725,0.16152266841239826,-0.11547298058885101,0.23501252805701578,0.23411988462954508,0.2335625095346224,0.23229344384164116,0.13382303683334884,0.13253850318396132,0.13150742332932364,0.13207303910731658,0.007495387867414642,0.0002592810326457545,-0.007795022647951212,-0.0113628840511069,0.00759262354940153,0.027598381244258494,0.022684795590462648,0.00890665052496096,0.007377195896631597,-0.015417764366488325,-0.017667886926308364,0.047129049795743776,0.0006927993314415633,0.03788861045089059,0.22590335469071382,0.2263073849629149,0.22464959271629267,0.2240707135154224,0.12512529795062535,0.12410953335728729,0.1265177243498383,0.12276047139375446,-0.025529289587013386,-0.02862149630111544,-0.019918271681048264,-0.02189790751720645,-0.0037860555973008385,-0.005498928124062515,0.026966459382808255,0.028166970699049703,-0.0005957204057840889,-0.005161708826880556,-0.013410519327111674,0.056139447090814844,-0.004477316327464043,0.03701728041886286,0.28169116100129304,0.2817807662109909,0.28166490706597663,0.28169116100129304,0.20868571883772943,0.20861815037124753,0.20867421697081354,0.20837423520906706,0.004954743141525099,0.003392918538903951,0.0036276697529752456,0.004498455762419799,0.0015576579182260024,-0.003657037493448629,0.03570294851852884,0.033997874486033586,0.0058864281413622925,0.016391497228892882,0.03336924446667695,0.06627134649355698,0.016865375212652915,0.07113128531540296,0.26405689263040605,0.26401061260891806,0.2641410268935088,0.26405689263040605,0.19849973029114873,0.1984053773994616,0.19849383758851866,0.19818528793813137,-0.014450025281442546,-0.010814505183485033,-0.012186415639541056,-0.011079427165928779,-0.004131908611745136,0.023516346324111752,0.035343547092844645,-0.0023927601544300927,-0.0010395265587471844,0.006299028864044309,0.005911877735372568,0.02543553763840569,0.004078700222029591,0.04937664775084922,0.000908368111120592,-0.005281999638491179,-0.01681612717171814,-0.0355729795551395,-0.042685697703522284,-0.029656295542281472,-0.033486925049124656,-0.029638067398012762,-0.007401478509944939,-0.00873366530433413,-0.04280780104338133,-0.021491132684341906,-0.030879772267829737,-0.03913746019835498,-0.052848779579740796,-0.05284119530024895,-0.03888136291576193,-0.042947855669820505,-0.04397507953597565,-0.04268421529586081,,,,,,,,,,,-0.3036853888447587,-0.053868403372645805,0.015192738501902605,-0.0090826693072438,-0.050831509863870576,0.005538582390101867,-0.005625876337915503,-0.017724356251303208,-0.03396059709323879,-0.017724356251303208
Sido_No,0.7261743947093211,0.584052683942611,0.12401973072055883,0.06592044726392723,0.03032782720719073,1.0,,0.40698704575271294,-0.23183441251628037,,-0.018720925987975506,0.7256238695124265,-0.08209001465015224,0.022501116722282218,0.021633728246937448,0.019066058414675922,0.02441883780815001,-0.005607580575858308,-0.008565881272493565,-0.005814399665388298,-0.005494748207161553,0.0066364591918103,-0.007011805973359504,-0.003447062932057102,0.0006990358474280794,-0.014744117355770562,-0.032742362153107524,-0.06102079852268903,-0.017545627180283997,-0.015237158138256822,-0.014978749587441161,-0.014958401498744603,-0.06757790315193021,-0.005145882102082291,-0.012919873123682013,0.027043136253572263,0.023289777499601077,0.027841103737165546,0.03030080528087552,-0.014005651092300684,-0.01335942176870086,-0.012689095358955325,-0.008823206758178463,0.016929963124019246,0.00583646929285448,-0.014639386860985107,-0.008981124060224435,-0.016786890798281755,-0.0178776837243119,-0.08032650164965173,-0.04819203891858585,-0.016763132885411276,-0.019808733258926875,-0.013480747058426402,-0.0740077194785597,-0.017773744761339264,-0.021772563428102507,0.023241692796324664,0.02309828985574137,0.02324807454150114,0.023241692796324664,0.02162553157155101,0.021871073778188817,0.021671402581718992,0.02128947831850125,0.04443880254805333,0.04324519454933754,0.04080082118087264,0.04467772034788406,0.002078716582646681,0.0019243957308133653,-0.02016878350049434,-0.011695508325512156,0.005172045494101923,0.013898524475728861,0.007358369773035701,-0.021717742465897943,0.00462004660433894,0.025927235087675294,0.03938160438445388,0.039412146581019866,0.039244415172811686,0.03938160438445388,0.031106180363145195,0.03122271098045837,0.031238437187404527,0.030768215968548254,0.025623869163811295,0.021823350821940736,0.023759724716070768,0.02270930306979034,-0.017473623146707456,-0.011106704642245058,-0.019311843549655015,-0.01591508601999197,-0.016625809211671897,0.004130269668351006,0.006844786766740462,-0.030415383967814454,0.0072897061363350535,-0.0055474730610852625,-0.008925454277023672,0.00442908778295757,-0.006328286679822583,0.003837377317071768,-0.01640083703298599,-0.016414238722734332,-0.012285891034638665,0.009044587123889185,-0.004809915537112091,0.004776931351650728,-0.013303719072822217,0.011137517164400259,-0.015574730245304922,-0.025314059786042592,-0.027045683213922023,-0.027274758702005228,-0.024598393398865732,-0.02498885733086557,0.004247166047564919,-0.0034181152857238346,,,,,,,,,,,-0.03491924008661062,-0.010191818530451466,-0.048751788872962804,-0.04441377012979566,0.003408197203995858,-0.03125820276204289,-0.028399838012829835,-0.009805381200205247,-0.032343171375538514,-0.009805381200205247
Region_No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gungu_No,0.5917780744931608,0.3903926704200627,0.5072790598180753,0.19393310920275386,0.1934707666911892,0.40698704575271294,,1.0,0.02999179908305078,,-0.03472307186611897,0.5914690401880716,-0.1888680113761351,0.03378517504467065,0.03260674729559885,0.03270885201401892,0.033518563055972166,-0.016790814995395753,-0.019419177396850864,-0.014893984353970848,-0.018087393337314617,-0.04594163264007335,-0.03208682281796567,-0.04881864878417944,-0.05193969025990642,0.02306645054470061,0.017474160384348552,-0.0022417030764325563,0.020596288412563606,0.025215575346566994,0.015183403747192568,0.013539987945655658,-0.01078676935919039,0.018665578873055384,0.045522537403081556,0.029023242679148686,0.02712153701204311,0.028999305515346407,0.03177772969722177,0.0006378868826068372,0.001532814055393602,-0.0012132817636824767,-0.0010970652577900937,-0.030932412387113258,-0.04316778222501003,-0.031333817896541286,-0.03813607414461634,0.027103263375223178,0.02320751212466723,-0.025783981121801584,0.001669336564212225,0.027773468503090874,-0.008865121766218348,0.007815124739639516,-0.014610517944102681,-0.012897519201758998,0.012516299818566279,0.05002654559140511,0.05006364837232085,0.05013254969435648,0.05002654559140511,0.0070081305546769845,0.007118711321490403,0.006866177380863475,0.0067260251264570385,0.03381079806861475,0.0336613049042046,0.03588395570006246,0.03341138486408884,0.04091021216613762,0.038785979942304954,0.023839183162973513,0.014627491201643465,0.042610363292343904,0.028181457346753806,0.01940402005663476,0.025672694226522415,0.01442691138209339,0.05244511856515235,0.043088835652614184,0.043179903707043665,0.043123510248699086,0.043088835652614184,0.023284722107550265,0.023161100770834706,0.02352564679791523,0.023001351243572884,0.027754220785394572,0.032690448319316376,0.02911808075183608,0.029980164280102497,0.012776990481354172,0.009399949997944898,0.02684186205194045,0.010512946277019748,0.01338078238852027,-0.0035306995930762825,-0.005166485505534094,0.02047826924932379,-0.0013953396079406286,0.0009070736606144173,0.019951376057407492,0.008235765324947658,-0.018147172305709506,0.026485093636769014,0.021068868856889262,0.018420840872517132,0.0220878172142295,-0.010097160541751887,0.007489315992012212,0.01155172140041861,0.0005648504876483522,0.03325971143139323,0.00424665185548945,-0.010571948385200172,-0.005941117889311357,-0.0058239947729450715,-0.012199348225939693,-0.011462880822452486,0.008782758828823569,0.007670360980307325,,,,,,,,,,,-0.039028036326008674,0.0257443069639499,0.001554521993382468,0.011631038290340553,0.027755549316201354,0.018869366337476434,0.02347000534107455,0.019875291539415082,0.02861620026538528,0.019875291539415082
School,-0.17540240344514976,-0.5513511495634222,0.13486621553244474,0.3192978909104337,0.1801722588720129,-0.23183441251628037,,0.02999179908305078,1.0,,-0.00776470794399414,-0.17540002561157877,-0.3563327572612427,0.04342760751738616,0.04291826292836751,0.04454252195574695,0.039763260813974466,0.007012256371224885,0.007486644144034932,0.004686365122086684,0.007236305764430579,-0.049348660125158,-0.04730152324913689,-0.04662577007390962,-0.04355374236071008,-0.033395251917897634,-0.030662043964269553,-0.02741297728210062,-0.03632007443284527,-0.029532190251094294,-0.0259091577775473,-0.030842260530791282,0.012469160907359994,-0.026897388650299253,-0.0007248330834570579,0.03401276146898438,0.03390524362731289,0.03265730500400816,0.03389710371543239,0.0070902379650952686,0.00664175939249984,0.00491404234358453,0.007266135573046926,-0.0582247505862773,-0.03952507720304517,-0.0515594730425465,-0.04006169985201631,0.0038081004332423895,0.0004260849996198572,0.0076588270682949365,-0.004676424602620362,0.0036990250835136603,-0.001906082382763806,-0.0113870220795334,0.035011196760005574,-0.002318881846226178,0.0006725985003884463,0.008660495979955194,0.008815294598958332,0.00875336055843559,0.008660495979955194,-0.024305004879966348,-0.024376843838269054,-0.02419963765042016,-0.02419791730064613,-0.054214230653017066,-0.05586180940599368,-0.0567883065825073,-0.05705985186401697,-0.043233030583380495,-0.039679141619098586,-0.020054929799596853,-0.04271066349682613,-0.04177885881284307,-0.0337014532985955,-0.03683302935366681,-0.0008823749599468928,-0.030455126136075723,-0.015192439783095724,-0.01716099460879819,-0.01710301939461072,-0.017016024136018496,-0.01716099460879819,0.001532043485833938,0.0016046652438029966,0.00139190777939284,0.0016408619194380062,-0.04855866704133562,-0.046851135803757306,-0.046502103371445815,-0.04577367878789533,-0.030343209351359094,-0.036500799030576264,-0.009245791744294974,-0.03240543403093939,-0.029875306214793337,-0.002818065640170407,-0.004254838954332565,-0.016180580626947137,-0.011841503423767287,-0.010214186624798205,-0.025804008868888947,-0.017552737161063973,-0.036277033376998606,-0.04187886248760609,-0.04091859329530484,-0.039381755992032974,-0.006881331714991959,-0.021889772667861983,-0.02860950360170667,-0.0008624171018967635,-0.0011964400002706433,-0.007097276682856855,0.00861447200591389,0.013377344720675277,0.021253984340502803,0.02156427991959379,0.014538947204978094,-0.011000913188791532,-0.004284954837601317,-0.008928277341799032,,,,,,,,,,,-0.000402020344371565,-0.0426219047372025,-0.024459636157028057,-0.037356085824347456,-0.05395362935295657,-0.03168202452436681,-0.04096653510908203,-0.03371269367204099,-0.02052310409361284,-0.03371269367204099
Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
