,Area_No,School_No,Exam_No,Area_ID,Exam_ID,Sido_No,Region_No,Gungu_No,School,Age,Gender,Strata,Weight,O_51B,O_51D,O_51M,O_51L,O_52B,O_52D,O_52M,O_52L,O_53B,O_53D,O_53M,O_53L,O_54B,O_54D,O_54O,O_54M,O_54L,O_55B,O_55D,O_55O,O_55M,O_55L,O_61B,O_61M,O_61D,O_61L,O_62B,O_62M,O_62D,O_62L,O_63B,O_63M,O_63D,O_63L,O_64B,O_64M,O_64O,O_64D,O_64L,O_65B,O_65M,O_65O,O_65D,O_65L,O_71L,O_71M,O_71D,O_71B,O_72L,O_72M,O_72D,O_72B,O_73L,O_73M,O_73D,O_73B,O_74L,O_74M,O_74O,O_74D,O_74B,O_75L,O_75M,O_75O,O_75D,O_75B,O_81L,O_81D,O_81M,O_81B,O_82L,O_82D,O_82M,O_82B,O_83L,O_83D,O_83M,O_83B,O_84L,O_84D,O_84O,O_84M,O_84B,O_85L,O_85D,O_85O,O_85M,O_85B,TN_UL_5,TN_UL_4,TN_UL_3,TN_UL_2,TN_UL_1,TN_UR_1,TN_UR_2,TN_UR_3,TN_UR_4,TN_UR_5,TN_LL_5,TN_LL_4,TN_LL_3,TN_LL_2,TN_LL_1,TN_LR_1,TN_LR_2,TN_LR_3,TN_LR_4,TN_LR_5,Calculus,Bleeding,Fluorosis,Trauma,Trauma_1,Trauma_2,Trauma_3,Trauma_4,Trauma_5,Orthodontic,n_tooth_d,dt_d,ft_d,dft_d,ds_d,fs_d,dfs_d,prev_caries_d,act_caries_d,label
0,2404,2204,2,44,3926,11,1,44.0,2,1,2,2401,31.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,18,0,0,0,0,0,0,0,0,0
1,2108,1163,2,95,10076,14,1,78.0,2,1,1,2101,38.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,18,0,0,0,0,0,0,0,0,0
2,2108,1153,3,32,2229,14,1,78.0,2,1,1,2101,38.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,20,0,1,1,0,5,5,1,0,1
3,1108,864,1,19,854,10,1,27.0,2,1,1,1101,52.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,20,0,3,3,0,7,7,1,0,1
4,2308,3507,1,3,1618,16,1,7.0,1,1,1,2302,71.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,18,0,2,2,0,10,10,1,0,1
5,2114,1269,3,49,1184,14,1,82.0,2,1,2,2102,50.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,20,0,0,0,0,0,0,0,0,0
6,2307,2020,1,16,1243,16,1,2.0,2,1,1,2301,87.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,20,0,2,2,0,4,4,1,0,1
7,2207,1593,3,29,12016,12,1,52.0,2,1,1,2201,43.8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,15,0,4,4,0,14,14,1,0,1
8,1108,864,1,21,856,10,1,27.0,2,1,2,1101,44.48,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,20,2,6,8,2,15,17,1,1,1
9,2404,2161,2,30,8639,11,1,44.0,2,1,1,2401,36.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,19,0,0,0,0,0,0,0,0,0
